SEED #1
RD: 	 FIELD(4402), 	 VALUE(20)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(2)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(ffff88803fca9a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000a5f9c0), O_VALUE(ffffc900003e7db8)
REG: 	 FIELD(R11), 	 I_VALUE(26f9cd8345), O_VALUE(26f43b0392)
REG: 	 FIELD(R12), 	 I_VALUE(ffff888006928100), O_VALUE(ffff8880059261c0)
REG: 	 FIELD(R13), 	 I_VALUE(ffff8880069287ec), O_VALUE(ffff8880059268ac)
REG: 	 FIELD(R14), 	 I_VALUE(0), O_VALUE(1)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc00000), O_VALUE(ffff88803fc80000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(1000008fb), O_VALUE(2000008fb)
EXIT REASON: MSR_WRITE

SEED #13
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(2), O_VALUE(0)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(4), O_VALUE(1)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fd29a90), O_VALUE(ffff88803fc29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000124a30), O_VALUE(ffffc90000a5f9c0)
REG: 	 FIELD(R11), 	 I_VALUE(2704906f1c), O_VALUE(26f9cd8345)
REG: 	 FIELD(R12), 	 I_VALUE(ffff8880033a4180), O_VALUE(ffff888006928100)
REG: 	 FIELD(R13), 	 I_VALUE(ffff8880033a486c), O_VALUE(ffff8880069287ec)
REG: 	 FIELD(R14), 	 I_VALUE(2), O_VALUE(0)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fd00000), O_VALUE(ffff88803fc00000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(4000008fb), O_VALUE(1000008fb)
EXIT REASON: MSR_WRITE

SEED #14
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(2), O_VALUE(2)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(4), O_VALUE(4)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fd29a90), O_VALUE(ffff88803fd29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000124a30), O_VALUE(ffffc90000124a30)
REG: 	 FIELD(R11), 	 I_VALUE(270d690f94), O_VALUE(2704906f1c)
REG: 	 FIELD(R12), 	 I_VALUE(ffff8880033a4180), O_VALUE(ffff8880033a4180)
REG: 	 FIELD(R13), 	 I_VALUE(ffff8880033a486c), O_VALUE(ffff8880033a486c)
REG: 	 FIELD(R14), 	 I_VALUE(2), O_VALUE(2)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fd00000), O_VALUE(ffff88803fd00000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(4000008fb), O_VALUE(4000008fb)
EXIT REASON: MSR_WRITE

SEED #15
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(ffff88803fd28ea0), O_VALUE(2)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(4), O_VALUE(4)
REG: 	 FIELD(R8), 	 I_VALUE(2), O_VALUE(ffff88803fd29a90)
REG: 	 FIELD(R9), 	 I_VALUE(2), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000124ea0), O_VALUE(ffffc90000124a30)
REG: 	 FIELD(R11), 	 I_VALUE(2711d116a7), O_VALUE(270d690f94)
REG: 	 FIELD(R12), 	 I_VALUE(69285ccf9), O_VALUE(ffff8880033a4180)
REG: 	 FIELD(R13), 	 I_VALUE(ffff88803fd9dcc0), O_VALUE(ffff8880033a486c)
REG: 	 FIELD(R14), 	 I_VALUE(4), O_VALUE(2)
REG: 	 FIELD(R15), 	 I_VALUE(ffffffff810befdd), O_VALUE(ffff88803fd00000)
REG: 	 FIELD(RBP), 	 I_VALUE(2), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(4000008fb), O_VALUE(4000008fb)
EXIT REASON: MSR_WRITE

SEED #16
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(ffff88803fd28ea0)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(4)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(2)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(2)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc900005a79c0), O_VALUE(ffffc90000124ea0)
REG: 	 FIELD(R11), 	 I_VALUE(271f9fe2d3), O_VALUE(2711d116a7)
REG: 	 FIELD(R12), 	 I_VALUE(ffff888006928100), O_VALUE(69285ccf9)
REG: 	 FIELD(R13), 	 I_VALUE(ffff8880069287ec), O_VALUE(ffff88803fd9dcc0)
REG: 	 FIELD(R14), 	 I_VALUE(0), O_VALUE(4)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc00000), O_VALUE(ffffffff810befdd)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(2)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(1000008fb), O_VALUE(4000008fb)
EXIT REASON: MSR_WRITE

SEED #17
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(1)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(ffff88803fc29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000a5fd28), O_VALUE(ffffc900005a79c0)
REG: 	 FIELD(R11), 	 I_VALUE(271fba4dde), O_VALUE(271f9fe2d3)
REG: 	 FIELD(R12), 	 I_VALUE(ffff88803591e180), O_VALUE(ffff888006928100)
REG: 	 FIELD(R13), 	 I_VALUE(ffff88803591e86c), O_VALUE(ffff8880069287ec)
