Dec 15 11:24:25 test kernel: [55102.400392] [TRACE_KVM] Buffer & to_replay created
Dec 15 11:24:25 test kernel: [55102.400428] [HAVFUZZ] Opened
Dec 15 11:24:57 test kernel: [55134.202622] [TRACE_KVM] The trarget vcpu is 3
Dec 15 11:24:57 test kernel: [55134.271323] [Trace KVM] Buffer reset
Dec 15 11:24:57 test kernel: [55134.271329] [TRACE_KVM] Buffer size changed
Dec 15 11:24:57 test kernel: [55134.271338] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 11:24:57 test kernel: [55134.271341] [TRACE_KVM] gran exit set to 0.
Dec 15 11:24:57 test kernel: [55134.271342] [TRACE_KVM] Control_execution set to 1.
Dec 15 11:24:57 test kernel: [55134.271344] [TRACE_KVM] tracing enabled
Dec 15 11:25:00 test kernel: [55137.032237] 241, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032262] 242, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032287] 243, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032312] 244, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032337] 245, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032362] 246, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032387] 247, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032412] 248, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032437] 249, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032462] 250, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032487] 251, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032512] 252, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032537] 253, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032562] 254, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032588] 255, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032613] 256, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032638] 257, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032663] 258, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032688] 259, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032713] 260, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032738] 261, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032763] 262, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032788] 263, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032813] 264, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032849] 265, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032874] 266, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032899] 267, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032925] 268, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032952] 269, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032984] 270, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033018] 271, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033054] 272, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033091] 273, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033127] 274, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033165] 275, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033201] 276, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033238] 277, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033276] 278, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033313] 279, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033350] 280, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033386] 281, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033413] 282, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033439] 283, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033464] 284, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033489] 285, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033512] 286, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033538] 287, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033562] 288, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033586] 289, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033611] 290, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033637] 291, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033662] 292, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033687] 293, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033712] 294, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033737] 295, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033763] 296, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033788] 297, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033813] 298, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033838] 299, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033864] 300, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033889] 301, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033914] 302, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033940] 303, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033964] 304, L1: 1.
Dec 15 11:25:00 test kernel: [55137.033989] 305, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034015] 306, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034039] 307, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034065] 308, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034089] 309, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034114] 310, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034139] 311, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034163] 312, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034188] 313, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034213] 314, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034238] 315, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034264] 316, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034289] 317, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034314] 318, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034339] 319, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034364] 320, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034389] 321, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034414] 322, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034439] 323, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034463] 324, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034488] 325, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034513] 326, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034539] 327, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034564] 328, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034589] 329, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034614] 330, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034639] 331, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034664] 332, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034690] 333, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034714] 334, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034740] 335, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034765] 336, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034790] 337, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034815] 338, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034840] 339, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034866] 340, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034891] 341, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034916] 342, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034941] 343, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034966] 344, L1: 1.
Dec 15 11:25:00 test kernel: [55137.034992] 345, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035016] 346, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035041] 347, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035066] 348, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035091] 349, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035116] 350, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035140] 351, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035164] 352, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035189] 353, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035214] 354, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035239] 355, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035264] 356, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035289] 357, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035314] 358, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035340] 359, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035365] 360, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035390] 361, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035415] 362, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035440] 363, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035465] 364, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035490] 365, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035516] 366, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035541] 367, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035566] 368, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035591] 369, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035616] 370, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035641] 371, L1: 1.
Dec 15 11:25:00 test kernel: [55137.035667] 372, L1: 1.
