Dec 19 12:25:13 test kernel: [78448.735792] [TRACE_KVM] Buffer & to_replay created
Dec 19 12:25:13 test kernel: [78448.735827] [HAVFUZZ] Opened
Dec 19 12:25:44 test kernel: [78480.000433] [TRACE_KVM] The trarget vcpu is 3
Dec 19 12:25:44 test kernel: [78480.070162] [Trace KVM] Buffer reset
Dec 19 12:25:44 test kernel: [78480.070169] [TRACE_KVM] Buffer size changed
Dec 19 12:25:44 test kernel: [78480.070174] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 12:25:44 test kernel: [78480.070177] [TRACE_KVM] gran exit set to 0.
Dec 19 12:25:44 test kernel: [78480.070178] [TRACE_KVM] Control_execution set to 1.
Dec 19 12:25:44 test kernel: [78480.070180] [TRACE_KVM] tracing enabled
Dec 19 12:25:45 test kernel: [78480.782731] 110, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782856] 111, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784375] 112, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784408] 113, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784434] 114, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784457] 115, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784481] 116, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784507] 117, L1: 1.
Dec 19 12:25:45 test kernel: [78480.784531] 118, L1: 1.
Dec 19 12:25:45 test kernel: [78480.785975] 119, L1: 1.
Dec 19 12:25:45 test kernel: [78480.786020] 120, L1: 1.
Dec 19 12:25:45 test kernel: [78480.786059] 121, L1: 1.
Dec 19 12:25:45 test kernel: [78480.787367] 122, L1: 1.
Dec 19 12:25:45 test kernel: [78480.787583] 123, L1: 1.
Dec 19 12:25:45 test kernel: [78480.803891] 124, L1: 1.
Dec 19 12:25:45 test kernel: [78480.804854] 125, L1: 1.
Dec 19 12:25:45 test kernel: [78480.890655] 126, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891277] 127, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891311] 128, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891338] 129, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891362] 130, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891389] 131, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891415] 132, L1: 1.
Dec 19 12:25:45 test kernel: [78480.891440] 133, L1: 1.
Dec 19 12:25:45 test kernel: [78480.893637] 134, L1: 1.
Dec 19 12:25:45 test kernel: [78480.893667] 135, L1: 1.
Dec 19 12:25:45 test kernel: [78480.893693] 136, L1: 1.
Dec 19 12:25:45 test kernel: [78480.894046] 137, L1: 1.
Dec 19 12:25:45 test kernel: [78480.895303] 138, L1: 1.
Dec 19 12:25:45 test kernel: [78480.895635] 139, L1: 1.
Dec 19 12:25:45 test kernel: [78480.895929] 140, L1: 1.
Dec 19 12:25:45 test kernel: [78480.904630] 141, L1: 1.
Dec 19 12:25:45 test kernel: [78480.904914] 142, L1: 1.
Dec 19 12:25:45 test kernel: [78480.906097] 143, L1: 1.
Dec 19 12:25:45 test kernel: [78480.907132] 144, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908330] 145, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908361] 146, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908387] 147, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908412] 148, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908436] 149, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908462] 150, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908487] 151, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908787] 152, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908826] 153, L1: 1.
Dec 19 12:25:45 test kernel: [78480.908863] 154, L1: 1.
Dec 19 12:25:45 test kernel: [78480.909151] 155, L1: 1.
Dec 19 12:25:45 test kernel: [78480.919812] 156, L1: 1.
Dec 19 12:25:45 test kernel: [78480.936784] 157, L1: 1.
